anime_name,stats,mal_id,mal_link,detail_link,image_url
Love Live! School Idol Project,"{'Length (in words)': '24325', 'Words (per minute)': '78.7', 'Unique words': '2907', 'Unique words (used once)': '1381', 'Unique words (used once %)': '47%', 'Unique words (per minute)': '9.4', 'Unique kanji': '897', 'Difficulty': '1/10'}",15051,https://myanimelist.net/anime/15051/Love_Live_School_Idol_Project,anime/44/love-live-school-idol-project,https://cdn.myanimelist.net/images/anime/11/56849.jpg
,,,,,
Kawa no Hikari,"{'Length (in words)': '3728', 'Words (per minute)': '49.8', 'Unique words': '965', 'Unique words (used once)': '528', 'Unique words (used once %)': '54%', 'Unique words (per minute)': '12.8', 'Unique kanji': '324', 'Difficulty': '1/10'}",6554,https://myanimelist.net/anime/6554/Kawa_no_Hikari,anime/154/kawa-no-hikari,https://cdn.myanimelist.net/images/anime/9/47005.jpg
,,,,,
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,"{'Length (in words)': '3236', 'Words (per minute)': '86.6', 'Unique words': '1139', 'Unique words (used once)': '700', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '30.5', 'Unique kanji': '509', 'Difficulty': '1/10'}",18619,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_Desu,anime/538/girls-und-panzer-kore-ga-hontou-no-anzio-sen-desu,https://cdn.myanimelist.net/images/anime/1959/92804.jpg
,,,,,
Little Witch Academia: Mahoujikake no Parade,"{'Length (in words)': '3289', 'Words (per minute)': '66.7', 'Unique words': '1141', 'Unique words (used once)': '762', 'Unique words (used once %)': '66%', 'Unique words (per minute)': '23.1', 'Unique kanji': '511', 'Difficulty': '1/10'}",19489,https://myanimelist.net/anime/19489/Little_Witch_Academia__Mahoujikake_no_Parade,anime/695/little-witch-academia-mahoujikake-no-parade,https://cdn.myanimelist.net/images/anime/12/75752.jpg
,,,,,
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","{'Length (in words)': '4057', 'Words (per minute)': '45.1', 'Unique words': '829', 'Unique words (used once)': '419', 'Unique words (used once %)': '50%', 'Unique words (per minute)': '9.2', 'Unique kanji': '364', 'Difficulty': '1/10'}",34498,https://myanimelist.net/anime/34498/Uchiage_Hanabi_Shita_kara_Miru_ka_Yoko_kara_Miru_ka,anime/333/uchiage-hanabi-shita-kara-miru-ka-yoko-kara-miru-ka,https://cdn.myanimelist.net/images/anime/10/86521.jpg
,,,,,
Orenchi no Furo Jijou,"{'Length (in words)': '3585', 'Words (per minute)': '69.9', 'Unique words': '1135', 'Unique words (used once)': '710', 'Unique words (used once %)': '62%', 'Unique words (per minute)': '22.1', 'Unique kanji': '566', 'Difficulty': '1/10'}",24211,https://myanimelist.net/anime/24211/Orenchi_no_Furo_Jijou,anime/1516/orenchi-no-furo-jijou,https://cdn.myanimelist.net/images/anime/12/67085.jpg
,,,,,
Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,"{'Length (in words)': '5602', 'Words (per minute)': '54.6', 'Unique words': '1357', 'Unique words (used once)': '813', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '13.2', 'Unique kanji': '580', 'Difficulty': '1/10'}",31989,https://myanimelist.net/anime/31989/Hibike_Euphonium_Movie_1__Kitauji_Koukou_Suisougaku-bu_e_Youkoso,anime/675/hibike-euphonium-movie-1-kitauji-koukou-suisougaku-bu-e-youkoso,https://cdn.myanimelist.net/images/anime/8/81156.jpg
,,,,,
Senyuu Specials,"{'Length (in words)': '1476', 'Words (per minute)': '119.8', 'Unique words': '610', 'Unique words (used once)': '400', 'Unique words (used once %)': '65%', 'Unique words (per minute)': '49.5', 'Unique kanji': '342', 'Difficulty': '1/10'}",17391,https://myanimelist.net/anime/17391/Senyuu_Specials,anime/1567/senyuu-specials,https://cdn.myanimelist.net/images/anime/2/51475.jpg
,,,,,
Ichigo Mashimaro Encore,"{'Length (in words)': '3431', 'Words (per minute)': '68.3', 'Unique words': '1099', 'Unique words (used once)': '696', 'Unique words (used once %)': '63%', 'Unique words (per minute)': '21.8', 'Unique kanji': '451', 'Difficulty': '1/10'}",4811,https://myanimelist.net/anime/4811/Ichigo_Mashimaro_Encore,anime/716/ichigo-mashimaro-encore,https://cdn.myanimelist.net/images/anime/12/14251.jpg
,,,,,
Precure Dream Stars! Movie,"{'Length (in words)': '3499', 'Words (per minute)': '49.3', 'Unique words': '877', 'Unique words (used once)': '471', 'Unique words (used once %)': '53%', 'Unique words (per minute)': '12.3', 'Unique kanji': '368', 'Difficulty': '1/10'}",34302,https://myanimelist.net/anime/34302/Precure_Dream_Stars_Movie,anime/1459/precure-dream-stars-movie,https://cdn.myanimelist.net/images/anime/4/86596.jpg
,,,,,
Touch Movie 2: Sayonara no Okurimono,"{'Length (in words)': '2861', 'Words (per minute)': '36.0', 'Unique words': '825', 'Unique words (used once)': '470', 'Unique words (used once %)': '56%', 'Unique words (per minute)': '10.3', 'Unique kanji': '358', 'Difficulty': '1/10'}",2492,https://myanimelist.net/anime/2492/Touch_2__Sayonara_no_Okurimono,anime/1488/touch-movie-2-sayonara-no-okurimono,https://cdn.myanimelist.net/images/anime/8/3046.jpg
,,,,,
Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,"{'Length (in words)': '2519', 'Words (per minute)': '57.6', 'Unique words': '751', 'Unique words (used once)': '445', 'Unique words (used once %)': '59%', 'Unique words (per minute)': '17.1', 'Unique kanji': '359', 'Difficulty': '1/10'}",3466,https://myanimelist.net/anime/3466/Kino_no_Tabi__The_Beautiful_World_-_Tou_no_Kuni_-_Free_Lance,anime/552/kino-no-tabi-the-beautiful-world-tou-no-kuni-free-lance,https://cdn.myanimelist.net/images/anime/11/62873.jpg
,,,,,
Gugure! Kokkuri-san Specials,"{'Length (in words)': '3213', 'Words (per minute)': '81.1', 'Unique words': '1017', 'Unique words (used once)': '626', 'Unique words (used once %)': '61%', 'Unique words (per minute)': '25.6', 'Unique kanji': '492', 'Difficulty': '1/10'}",27945,https://myanimelist.net/anime/27945/Gugure_Kokkuri-san_Specials,anime/660/gugure-kokkuri-san-specials,https://cdn.myanimelist.net/images/anime/4/67735.jpg
,,,,,
Dokonjou Gaeru,"{'Length (in words)': '3189', 'Words (per minute)': '86.2', 'Unique words': '993', 'Unique words (used once)': '577', 'Unique words (used once %)': '58%', 'Unique words (per minute)': '26.8', 'Unique kanji': '434', 'Difficulty': '1/10'}",5618,https://myanimelist.net/anime/5618/Dokonjou_Gaeru,anime/162/dokonjou-gaeru,https://cdn.myanimelist.net/images/anime/11/31175.jpg
,,,,,
